"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2023","137.860","137.370","139.960","137.130","3.00K","0.36%"
"09/14/2023","137.370","133.400","138.000","132.490","1.72K","2.98%"
"09/13/2023","133.400","131.090","134.490","130.860","1.81K","1.76%"
"09/12/2023","131.090","130.110","133.300","129.700","1.53K","0.75%"
"09/11/2023","130.110","133.210","133.750","128.460","2.64K","-2.33%"
"09/10/2023","133.210","133.950","133.990","132.550","0.73K","-0.55%"
"09/09/2023","133.950","134.540","134.550","132.820","1.80K","-0.44%"
"09/08/2023","134.540","134.430","136.490","131.550","2.28K","0.08%"
"09/07/2023","-1","132.750","134.430","131.610","1.99K","1.27%"
"09/06/2023","132.750","128.410","132.990","128.270","3.13K","3.38%"
"09/05/2023","128.410","130.830","131.570","128.260","2.09K","-1.85%"
"09/04/2023","130.830","130.630","132.950","130.530","3.21K","0.15%"
"09/03/2023","130.630","130.270","131.250","129.260","0.86K","0.28%"
"09/02/2023","-1","130.700","131.460","129.150","1.29K","-0.42%"
"09/01/2023","130.820","131.890","133.480","128.900","2.46K","-0.81%"
"08/31/2023","131.890","129.970","133.360","128.990","2.77K","1.48%"
"08/30/2023","129.970","135.030","136.210","129.000","3.98K","-3.75%"
"08/29/2023","135.030","134.100","136.800","132.080","2.06K","0.69%"
"08/28/2023","134.100","134.720","135.570","131.820","1.90K","-0.46%"
"08/27/2023","134.720","132.410","135.160","132.350","0.80K","1.74%"
"08/26/2023","132.410","129.790","134.270","129.690","1.72K","2.02%"
"08/25/2023","129.790","128.300","129.970","126.810","1.81K","1.16%"
"08/24/2023","128.300","131.720","131.720","125.570","2.92K","-2.60%"
"08/23/2023","131.720","134.150","135.230","131.510","1.32K","-1.81%"
"08/22/2023","134.150","137.080","137.400","132.460","1.86K","-2.14%"
"08/21/2023","137.080","135.550","137.440","133.010","2.34K","1.13%"
"08/20/2023","-1","133.230","137.400","132.420","0.80K","1.74%"
"08/19/2023","133.230","131.950","133.940","131.920","0.52K","0.97%"
"08/18/2023","131.950","130.340","133.410","129.700","1.82K","1.24%"
"08/17/2023","130.340","141.320","141.850","128.000","4.56K","-7.77%"
"08/16/2023","141.320","142.350","143.230","140.260","1.82K","-0.72%"
"08/15/2023","142.350","144.840","145.070","142.000","1.08K","-1.72%"
"08/14/2023","144.840","144.440","146.200","144.290","1.40K","0.28%"
"08/13/2023","-1","144.330","145.540","143.450","0.58K","0.08%"
"08/12/2023","144.330","143.200","144.470","142.930","0.47K","0.79%"
"08/11/2023","143.200","141.890","143.590","141.610","1.19K","0.92%"
"08/10/2023","141.890","143.260","143.440","140.000","1.22K","-0.96%"
"08/09/2023","143.260","144.770","145.130","142.460","1.19K","-1.04%"
"08/08/2023","144.770","143.750","145.880","143.440","2.35K","0.71%"
"08/07/2023","143.750","145.070","146.000","142.810","1.21K","-0.91%"
"08/06/2023","145.070","144.930","146.240","144.650","0.61K","0.10%"
"08/05/2023","144.930","144.120","146.410","143.270","1.12K","0.56%"
"08/04/2023","144.120","146.430","147.760","142.830","1.33K","-1.58%"
"08/03/2023","146.430","145.660","147.380","145.660","2.30K","0.53%"
"08/02/2023","145.660","145.260","146.430","144.720","1.72K","0.28%"
"08/01/2023","145.260","146.400","148.890","143.400","3.05K","-0.78%"
"07/31/2023","146.400","145.260","146.860","144.580","3.75K","0.78%"
"07/30/2023","145.260","148.000","148.640","143.660","0.77K","-1.85%"
"07/29/2023","148.000","148.030","148.850","147.010","0.60K","-0.02%"
"07/28/2023","148.030","147.420","149.350","147.200","0.79K","0.41%"
"07/27/2023","147.420","147.010","148.300","146.390","2.60K","0.28%"
"07/26/2023","-1","147.290","147.480","145.910","1.46K","-0.19%"
"07/25/2023","147.290","145.560","147.850","144.510","3.13K","1.19%"
"07/24/2023","145.560","147.320","148.590","144.760","1.46K","-1.19%"
"07/23/2023","147.320","145.700","149.490","145.390","0.70K","1.11%"
"07/22/2023","145.700","145.830","147.250","145.120","0.70K","-0.09%"
"07/21/2023","145.830","148.910","149.210","144.700","1.26K","-2.07%"
"07/20/2023","148.910","148.090","150.480","146.500","1.95K","0.55%"
"07/19/2023","148.090","148.920","151.850","147.570","2.10K","-0.56%"
"07/18/2023","148.920","149.900","150.210","146.360","1.48K","-0.65%"
"07/17/2023","149.900","147.570","150.430","145.330","7.86K","1.63%"
"07/16/2023","147.500","146.940","148.080","145.570","0.77K","0.38%"
"07/15/2023","146.940","143.030","148.140","141.680","0.83K","2.73%"
"07/14/2023","143.030","147.150","148.470","139.120","2.63K","-2.80%"
"07/13/2023","147.150","146.790","149.540","144.850","1.43K","0.25%"
"07/12/2023","146.790","150.030","150.090","146.320","1.04K","-2.16%"
"07/11/2023","150.030","148.830","150.650","148.100","3.90K","0.81%"
"07/10/2023","-1","151.290","152.000","148.270","2.58K","-1.63%"
"07/09/2023","151.290","152.350","153.910","150.690","1.23K","-0.70%"
"07/08/2023","152.350","151.150","154.170","150.830","1.97K","0.79%"
"07/07/2023","151.150","152.120","154.520","149.860","2.49K","-0.64%"
"07/06/2023","152.120","153.860","155.990","151.320","5.73K","-1.13%"
"07/05/2023","153.860","152.940","156.210","148.780","5.45K","0.60%"
"07/04/2023","152.940","154.520","156.990","152.940","10.92K","-1.02%"
"07/03/2023","154.520","154.350","157.960","153.490","4.63K","0.11%"
"07/02/2023","154.350","153.130","154.350","149.300","0.83K","0.80%"
"07/01/2023","153.130","154.240","155.000","152.800","1.46K","-0.72%"
"06/30/2023","154.240","150.870","155.890","147.260","8.13K","2.23%"
"06/29/2023","-1","150.840","153.690","147.690","2.65K","0.02%"
"06/28/2023","150.840","153.340","155.660","149.410","6.36K","-1.63%"
"06/27/2023","153.340","149.650","155.790","149.650","1.84K","2.47%"
"06/26/2023","149.650","149.660","151.890","145.310","3.37K","-0.01%"
"06/25/2023","149.660","143.320","152.290","143.320","3.70K","4.42%"
"06/24/2023","143.320","141.740","146.490","140.820","11.53K","1.11%"
"06/23/2023","141.740","136.830","142.540","136.130","4.00K","3.59%"
"06/22/2023","136.830","131.580","139.440","131.580","3.79K","3.71%"
"06/21/2023","131.940","129.910","132.500","129.400","3.25K","1.56%"
"06/20/2023","129.910","126.460","130.760","125.590","3.88K","2.73%"
"06/19/2023","126.460","125.340","127.530","124.760","1.92K","0.89%"
"06/18/2023","125.340","124.650","128.950","124.590","1.58K","0.55%"
"06/17/2023","124.650","122.820","125.130","122.820","1.98K","1.49%"
"06/16/2023","122.820","122.840","125.520","121.020","2.13K","-0.02%"
"06/15/2023","122.840","123.680","123.920","120.840","3.49K","-0.68%"
"06/14/2023","123.680","126.800","127.220","121.210","3.33K","-2.46%"
"06/13/2023","126.800","130.210","130.970","126.800","3.04K","-2.62%"
"06/12/2023","130.210","128.420","130.800","126.490","3.35K","1.39%"
"06/11/2023","128.420","128.530","129.320","126.430","1.29K","-0.09%"
"06/10/2023","128.530","133.460","134.330","120.990","4.58K","-3.69%"
"06/09/2023","133.460","132.220","133.590","130.730","2.25K","0.94%"
"06/08/2023","132.220","135.430","135.990","132.010","1.06K","-2.37%"
"06/07/2023","135.430","137.370","138.350","133.850","2.39K","-1.41%"
"06/06/2023","137.370","131.840","137.690","129.820","4.03K","4.19%"
"06/05/2023","131.840","138.560","138.900","129.040","5.18K","-4.85%"
"06/04/2023","138.560","138.690","140.240","138.340","0.70K","-0.09%"
"06/03/2023","138.690","136.240","138.790","136.120","0.47K","1.80%"
"06/02/2023","136.240","136.180","137.250","134.760","2.55K","0.04%"
"06/01/2023","136.180","136.890","138.770","135.920","2.10K","-0.52%"
"05/31/2023","136.890","142.600","143.460","135.680","3.42K","-4.00%"
"05/30/2023","-1","143.630","144.250","142.200","1.16K","-0.72%"
"05/29/2023","143.630","144.640","146.090","142.740","1.55K","-0.70%"
"05/28/2023","144.640","140.990","145.670","140.860","1.76K","2.59%"
"05/27/2023","140.990","140.480","141.120","140.220","0.44K","0.36%"
"05/26/2023","140.480","140.770","141.650","139.940","0.87K","-0.24%"
"05/25/2023","140.820","139.580","141.300","138.910","2.90K","0.89%"
"05/24/2023","139.580","140.710","140.890","138.000","2.47K","-0.80%"
"05/23/2023","140.710","139.710","141.450","139.710","2.30K","0.72%"
"05/22/2023","139.710","139.000","140.900","138.000","5.55K","0.51%"
"05/21/2023","139.000","139.060","139.420","138.000","0.90K","-0.04%"
"05/20/2023","139.060","139.260","140.120","138.690","0.71K","-0.14%"
"05/19/2023","139.260","139.990","141.060","138.650","2.56K","-0.52%"
"05/18/2023","139.990","139.730","141.030","138.550","1.30K","0.22%"
"05/17/2023","139.680","139.450","140.380","139.290","1.78K","0.16%"
"05/16/2023","139.450","139.850","140.430","138.700","2.42K","-0.29%"
"05/15/2023","139.850","141.880","142.350","139.850","1.27K","-1.43%"
"05/14/2023","141.880","141.170","142.000","140.740","0.70K","0.50%"
"05/13/2023","141.170","141.710","141.880","140.770","0.57K","-0.38%"
"05/12/2023","141.710","139.990","141.710","138.350","1.28K","1.23%"
"05/11/2023","139.990","140.100","142.280","138.640","1.77K","-0.08%"
"05/10/2023","140.100","141.320","142.320","137.800","2.43K","-0.86%"
"05/09/2023","141.320","139.730","141.530","138.960","2.25K","1.14%"
"05/08/2023","139.730","142.450","142.970","136.120","3.14K","-1.91%"
"05/07/2023","142.450","142.210","143.960","141.800","1.19K","0.17%"
"05/06/2023","-1","143.580","144.260","140.060","1.25K","-0.95%"
"05/05/2023","143.580","141.060","143.810","140.530","1.91K","1.79%"
"05/04/2023","141.060","140.130","142.110","140.080","1.76K","0.66%"
"05/03/2023","140.130","138.680","140.250","137.250","2.99K","1.05%"
"05/02/2023","138.680","139.220","141.490","138.430","2.19K","-0.39%"
"05/01/2023","139.220","141.280","141.790","137.800","1.86K","-1.35%"
"04/30/2023","141.130","140.550","142.710","139.800","1.28K","0.41%"
"04/29/2023","140.550","139.270","141.730","138.570","1.33K","0.92%"
"04/28/2023","139.270","139.480","141.440","138.420","3.12K","-0.15%"
"04/27/2023","139.480","142.030","143.870","139.480","2.38K","-1.80%"
"04/26/2023","142.030","145.470","146.850","138.000","4.31K","-2.36%"
"04/25/2023","145.470","142.630","145.500","139.940","3.69K","1.99%"
"04/24/2023","142.630","143.230","144.710","141.610","1.11K","-0.42%"
"04/23/2023","143.230","143.550","145.290","142.020","1.32K","-0.22%"
"04/22/2023","143.550","137.620","143.600","136.860","1.56K","4.31%"
"04/21/2023","-1","140.320","141.660","136.000","1.43K","-1.92%"
"04/20/2023","140.320","139.890","142.540","137.730","2.30K","0.31%"
"04/19/2023","139.890","148.260","148.320","138.790","2.34K","-5.65%"
"04/18/2023","148.260","146.200","148.880","145.120","2.13K","1.41%"
"04/17/2023","146.200","149.070","149.070","146.200","2.72K","-1.93%"
"04/16/2023","149.070","147.960","149.230","146.230","1.68K","0.75%"
"04/15/2023","147.960","147.490","149.000","146.830","0.74K","0.32%"
"04/14/2023","147.490","146.570","148.630","145.100","3.12K","0.63%"
"04/13/2023","146.570","147.610","148.710","146.200","2.71K","-0.70%"
"04/12/2023","147.610","148.410","149.000","144.940","2.74K","-0.54%"
"04/11/2023","148.410","146.400","149.080","146.220","2.37K","1.37%"
"04/10/2023","146.400","147.010","147.480","143.190","1.02K","-0.41%"
"04/09/2023","147.010","145.490","147.010","145.100","0.48K","1.04%"
"04/08/2023","145.490","143.990","146.030","143.990","0.47K","1.04%"
"04/07/2023","143.990","143.490","144.850","142.550","0.66K","0.35%"
"04/06/2023","143.490","145.080","145.620","143.230","1.03K","-1.10%"
"04/05/2023","145.080","144.940","146.150","143.210","1.84K","0.10%"
"04/04/2023","144.940","143.470","146.200","143.210","2.04K","1.02%"
"04/03/2023","-1","148.440","148.960","143.000","2.75K","-3.35%"
"04/02/2023","148.440","144.790","148.880","144.450","1.84K","2.52%"
"04/01/2023","144.790","145.600","145.600","142.130","1.25K","-0.56%"
"03/31/2023","145.600","142.350","146.000","142.010","1.69K","2.28%"
"03/30/2023","142.350","146.950","150.520","141.780","2.93K","-3.13%"
"03/29/2023","146.950","142.090","147.230","141.980","1.54K","3.42%"
"03/28/2023","142.090","140.520","144.060","138.840","2.85K","1.12%"
"03/27/2023","140.520","149.910","152.960","140.390","4.76K","-6.26%"
"03/26/2023","149.910","148.910","154.240","148.000","2.24K","0.67%"
"03/25/2023","148.910","150.870","153.320","148.910","1.46K","-1.30%"
"03/24/2023","150.870","144.640","151.050","144.500","3.67K","4.31%"
"03/23/2023","144.640","137.110","144.730","137.070","3.12K","5.49%"
"03/22/2023","-1","142.070","143.500","134.390","2.48K","-3.49%"
"03/21/2023","142.070","141.220","145.900","138.670","1.94K","0.60%"
"03/20/2023","141.220","144.060","146.090","140.050","2.83K","-1.97%"
"03/19/2023","144.060","139.720","148.200","139.670","2.02K","3.11%"
"03/18/2023","139.720","143.540","144.480","137.500","2.46K","-2.66%"
"03/17/2023","143.540","140.660","144.940","140.140","2.40K","2.05%"
"03/16/2023","140.660","137.980","141.130","136.570","1.34K","1.94%"
"03/15/2023","137.980","139.080","143.600","135.040","1.95K","-0.79%"
"03/14/2023","139.080","139.840","145.920","136.720","3.16K","-0.54%"
"03/13/2023","139.840","139.000","144.220","135.720","3.34K","0.60%"
"03/12/2023","139.000","130.500","139.510","129.790","1.56K","6.51%"
"03/11/2023","130.500","127.280","132.130","124.780","3.54K","2.53%"
"03/10/2023","127.280","134.630","134.630","124.270","5.81K","-5.46%"
"03/09/2023","134.630","136.000","143.870","132.950","2.43K","-1.01%"
"03/08/2023","136.000","142.410","143.580","136.000","2.63K","-4.50%"
"03/07/2023","142.410","144.030","145.550","139.500","3.62K","-1.12%"
"03/06/2023","144.030","140.540","144.180","139.530","3.95K","2.48%"
"03/05/2023","140.540","138.150","141.130","137.720","1.59K","1.73%"
"03/04/2023","138.150","136.240","139.000","135.560","0.63K","1.40%"
"03/03/2023","136.240","142.520","142.730","132.810","4.71K","-4.41%"
"03/02/2023","142.520","143.110","144.040","140.250","2.70K","-0.41%"
"03/01/2023","143.110","142.280","144.650","141.020","3.74K","0.58%"
"02/28/2023","142.280","140.940","143.690","140.880","2.20K","0.95%"
"02/27/2023","140.940","143.320","144.020","138.350","1.95K","-1.66%"
"02/26/2023","143.320","141.390","144.390","141.020","0.91K","1.37%"
"02/25/2023","141.390","142.840","143.840","137.890","1.35K","-1.02%"
"02/24/2023","142.840","143.350","145.970","141.300","0.92K","-0.36%"
"02/23/2023","143.350","149.120","150.000","141.790","4.40K","-3.87%"
"02/22/2023","149.120","149.910","149.930","146.490","1.37K","-0.53%"
"02/21/2023","149.910","151.250","152.820","147.360","2.65K","-0.89%"
"02/20/2023","151.250","151.670","157.760","150.540","4.24K","-0.28%"
"02/19/2023","151.670","151.140","155.340","149.330","1.52K","0.35%"
"02/18/2023","151.140","149.430","153.000","148.630","0.85K","1.14%"
"02/17/2023","149.430","146.080","151.840","145.670","2.42K","2.29%"
"02/16/2023","146.080","154.620","155.900","146.020","1.93K","-5.52%"
"02/15/2023","154.620","147.680","154.720","146.530","3.54K","4.70%"
"02/14/2023","147.680","145.370","148.320","143.240","1.54K","1.50%"
"02/13/2023","145.500","148.760","151.620","143.440","1.72K","-2.19%"
